outgoing,outgoing_slot,position,outgoing_md1_points,outgoing_md2_price_m,cash_before_m,max_replacement_price_m,candidate,candidate_md1_points,candidate_md1_price_m,candidate_md2_price_m,candidate_movement_m,candidate_points_per_md2_m,cash_after_m,points_gain_vs_outgoing
Nathaniel Brown,starter,DEF,82,15.38,3.82,19.20,Amos Pieper,122,8.59,8.62,+0.03,14.15,10.58,40
Nathaniel Brown,starter,DEF,82,15.38,3.82,19.20,Alphonso Davies,106,16.27,16.14,-0.13,6.57,3.06,24
Nathaniel Brown,starter,DEF,82,15.38,3.82,19.20,Lukas Kübler,105,8.31,8.31,+0.00,12.64,10.89,23
Nathaniel Brown,starter,DEF,82,15.38,3.82,19.20,Zeno van den Bosch,101,8.72,8.71,-0.01,11.60,10.49,19
Nathaniel Brown,starter,DEF,82,15.38,3.82,19.20,Josha Vagnoman,97,6.11,6.12,+0.01,15.85,13.08,15
Nathaniel Brown,starter,DEF,82,15.38,3.82,19.20,Jarell Quansah,82,13.21,13.18,-0.03,6.22,6.02,0
Nathaniel Brown,starter,DEF,82,15.38,3.82,19.20,Felix Keidel,81,4.09,4.12,+0.03,19.66,15.08,-1
Nathaniel Brown,starter,DEF,82,15.38,3.82,19.20,Tom Rothe,80,5.73,5.72,-0.01,13.99,13.48,-2
Nathaniel Brown,starter,DEF,82,15.38,3.82,19.20,Robin Koch,73,12.89,12.81,-0.08,5.70,6.39,-9
Nathaniel Brown,starter,DEF,82,15.38,3.82,19.20,Kevin Diks,71,10.55,10.49,-0.06,6.77,8.71,-11
Nathaniel Brown,starter,DEF,82,15.38,3.82,19.20,Bernardo,70,8.05,8.02,-0.03,8.73,11.18,-12
Nathaniel Brown,starter,DEF,82,15.38,3.82,19.20,Ko Itakura,70,8.82,8.77,-0.05,7.98,10.43,-12
Nathaniel Brown,starter,DEF,82,15.38,3.82,19.20,Mick Schmetgens,66,2.35,2.38,+0.03,27.73,16.82,-16
Nathaniel Brown,starter,DEF,82,15.38,3.82,19.20,Loïc Badé,66,12.03,11.98,-0.05,5.51,7.22,-16
Nathaniel Brown,starter,DEF,82,15.38,3.82,19.20,Youngwoo Seol,64,5.26,5.26,+0.00,12.17,13.94,-18
